"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",4,350,"ES"
"2",7,350,"ES"
"3",8,350,"ES"
"4",11,350,"ES"
"5",14,350,"ES"
"6",15,350,"ES"
"7",16,350,"ES"
"8",17,350,"ES"
"9",18,350,"ES"
"10",20,350,"ES"
"11",4,550,"ES"
"12",6,550,"ES"
"13",7,550,"ES"
"14",8,550,"ES"
"15",10,550,"ES"
"16",11,550,"ES"
"17",12,550,"ES"
"18",14,550,"ES"
"19",15,550,"ES"
"20",16,550,"ES"
"21",17,550,"ES"
"22",18,550,"ES"
"23",19,550,"ES"
"24",20,550,"ES"
"25",21,550,"ES"
"26",24,550,"ES"
"27",25,550,"ES"
"28",26,550,"ES"
"29",29,550,"ES"
"30",34,550,"ES"
"31",36,550,"ES"
"32",37,550,"ES"
"33",38,550,"ES"
"34",39,550,"ES"
"35",40,550,"ES"
"36",41,550,"ES"
"37",42,550,"ES"
"38",43,550,"ES"
"39",45,550,"ES"
"40",48,550,"ES"
"41",53,550,"ES"
"42",54,550,"ES"
"43",75,550,"ES"
"44",76,550,"ES"
"45",77,550,"ES"
"46",79,550,"ES"
"47",82,550,"ES"
"48",88,550,"ES"
"49",89,550,"ES"
"50",91,550,"ES"
"51",92,550,"ES"
"52",94,550,"ES"
"53",96,550,"ES"
"54",97,550,"ES"
"55",98,550,"ES"
"56",100,550,"ES"
"57",101,550,"ES"
"58",103,550,"ES"
"59",104,550,"ES"
"60",105,550,"ES"
"61",107,550,"ES"
"62",108,550,"ES"
"63",109,550,"ES"
"64",110,550,"ES"
"65",111,550,"ES"
"66",114,550,"ES"
"67",118,550,"ES"
"68",119,550,"ES"
"69",121,550,"ES"
"70",122,550,"ES"
"71",125,550,"ES"
"72",128,550,"ES"
"73",130,550,"ES"
"74",131,550,"ES"
"75",134,550,"ES"
"76",136,550,"ES"
"77",137,550,"ES"
"78",138,550,"ES"
"79",140,550,"ES"
"80",4,650,"ES"
"81",6,650,"ES"
"82",7,650,"ES"
"83",8,650,"ES"
"84",10,650,"ES"
"85",11,650,"ES"
"86",12,650,"ES"
"87",14,650,"ES"
"88",15,650,"ES"
"89",16,650,"ES"
"90",17,650,"ES"
"91",18,650,"ES"
"92",19,650,"ES"
"93",20,650,"ES"
"94",66,650,"ES"
"95",4,450,"ES"
"96",6,450,"ES"
"97",7,450,"ES"
"98",8,450,"ES"
"99",10,450,"ES"
"100",11,450,"ES"
"101",12,450,"ES"
"102",14,450,"ES"
"103",15,450,"ES"
"104",16,450,"ES"
"105",17,450,"ES"
"106",18,450,"ES"
"107",20,450,"ES"
"108",145,950,"ES"
"109",152,950,"ES"
"110",185,950,"ES"
"111",169,850,"ES"
"112",168,850,"ES"
"113",171,850,"ES"
"114",156,850,"ES"
"115",164,850,"ES"
"116",192,850,"ES"
"117",207,850,"ES"
"118",178,850,"ES"
"119",191,850,"ES"
"120",198,850,"ES"
"121",203,850,"ES"
"122",162,850,"ES"
"123",158,850,"ES"
"124",157,850,"ES"
"125",189,850,"ES"
"126",176,850,"ES"
"127",148,850,"ES"
"128",190,850,"ES"
"129",208,850,"ES"
"130",147,850,"ES"
"131",186,850,"ES"
"132",146,850,"ES"
"133",187,850,"ES"
"134",167,850,"ES"
"135",166,850,"ES"
"136",193,850,"ES"
"137",172,850,"ES"
