"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",143,950,"ES"
"2",145,950,"ES"
"3",155,950,"ES"
"4",173,950,"ES"
"5",182,950,"ES"
"6",161,850,"ES"
"7",151,850,"ES"
"8",183,850,"ES"
"9",148,850,"ES"
"10",202,850,"ES"
"11",190,850,"ES"
"12",187,850,"ES"
"13",141,850,"ES"
"14",118,750,"ES"
"15",120,750,"ES"
"16",122,750,"ES"
"17",125,750,"ES"
"18",127,750,"ES"
"19",132,750,"ES"
"20",139,750,"ES"
"21",61,750,"ES"
"22",68,750,"ES"
"23",5,350,"ES"
"24",7,350,"ES"
"25",8,350,"ES"
"26",9,350,"ES"
"27",11,350,"ES"
"28",16,350,"ES"
"29",212,350,"ES"
"30",213,350,"ES"
"31",5,450,"ES"
"32",6,450,"ES"
"33",7,450,"ES"
"34",8,450,"ES"
"35",9,450,"ES"
"36",11,450,"ES"
"37",12,450,"ES"
"38",16,450,"ES"
"39",212,450,"ES"
"40",213,450,"ES"
"41",5,650,"ES"
"42",6,650,"ES"
"43",7,650,"ES"
"44",8,650,"ES"
"45",9,650,"ES"
"46",10,650,"ES"
"47",11,650,"ES"
"48",16,650,"ES"
"49",61,650,"ES"
"50",64,650,"ES"
"51",65,650,"ES"
"52",66,650,"ES"
"53",67,650,"ES"
"54",68,650,"ES"
"55",70,650,"ES"
"56",71,650,"ES"
"57",72,650,"ES"
"58",73,650,"ES"
"59",212,650,"ES"
"60",213,650,"ES"
"61",5,550,"ES"
"62",6,550,"ES"
"63",7,550,"ES"
"64",8,550,"ES"
"65",9,550,"ES"
"66",10,550,"ES"
"67",11,550,"ES"
"68",12,550,"ES"
"69",16,550,"ES"
"70",50,550,"ES"
"71",51,550,"ES"
"72",53,550,"ES"
"73",61,550,"ES"
"74",64,550,"ES"
"75",65,550,"ES"
"76",66,550,"ES"
"77",67,550,"ES"
"78",68,550,"ES"
"79",70,550,"ES"
"80",71,550,"ES"
"81",72,550,"ES"
"82",73,550,"ES"
"83",75,550,"ES"
"84",76,550,"ES"
"85",79,550,"ES"
"86",82,550,"ES"
"87",89,550,"ES"
"88",92,550,"ES"
"89",99,550,"ES"
"90",100,550,"ES"
"91",102,550,"ES"
"92",104,550,"ES"
"93",106,550,"ES"
"94",109,550,"ES"
"95",110,550,"ES"
"96",111,550,"ES"
"97",112,550,"ES"
"98",113,550,"ES"
"99",114,550,"ES"
"100",115,550,"ES"
"101",116,550,"ES"
"102",118,550,"ES"
"103",119,550,"ES"
"104",120,550,"ES"
"105",121,550,"ES"
"106",122,550,"ES"
"107",125,550,"ES"
"108",127,550,"ES"
"109",132,550,"ES"
"110",139,550,"ES"
"111",140,550,"ES"
"112",210,550,"ES"
"113",212,550,"ES"
"114",213,550,"ES"
