SpeciesID,System,StageID,Stage,WorkingName,OrganismalGroup,NodeType
5,CSM,1,adult,Salt Grass,vascular plant,taxon
6,CSM,1,adult,epipellic flora,microphytobenthos,taxon
7,CSM,1,adult,Alkali Heath,vascular plant,taxon
8,CSM,1,adult,Fleshy Jaumea,vascular plant,taxon
9,CSM,1,adult,California Sea Lavender,vascular plant,taxon
10,CSM,1,adult,macroalgae,macroalgae,taxon
11,CSM,1,adult,Shore Grass,vascular plant,taxon
12,CSM,1,adult,phytoplankton,vascular plant,taxon
16,CSM,1,adult,Pickleweed,vascular plant,taxon
50,CSM,1,adult,Carcinonemertes sp.,nemertean,taxon
51,CSM,1,adult,Carinoma mutabilis,nemertean,taxon
53,CSM,1,adult,nemertean,nemertean,taxon
61,CSM,2,larva,California Softshell Clam,bivalve,life stage
64,CSM,2,larva,Bent-nosed Clam,bivalve,life stage
65,CSM,1,adult,White Sand Macoma,bivalve,life stage
66,CSM,1,adult,Blue Mussel,bivalve,life stage
67,CSM,1,adult,California Mahogany Clam,bivalve,life stage
68,CSM,1,adult,Pacific Littleneck Clam,bivalve,life stage
70,CSM,1,adult,Butter Clam,bivalve,life stage
71,CSM,2,larva,Fat Jackknife Clam,bivalve,life stage
72,CSM,1,adult,California Jackknife Clam,bivalve,life stage
73,CSM,1,adult,Lesser Tagelus,bivalve,life stage
75,CSM,1,adult,Acteocina inculta,snail,taxon
76,CSM,1,adult,California Assiminea,snail,taxon
79,CSM,1,adult,California Horn Snail,snail,taxon
82,CSM,1,adult,Salt Marsh Snail,snail,taxon
89,CSM,1,adult,corophiid?,amphipod,taxon
92,CSM,1,adult,cyclopoid copepod,copepod,taxon
99,CSM,1,adult,green gammaridean,amphipod,taxon
100,CSM,1,adult,harpacticoid,copepod,taxon
102,CSM,1,adult,oniscidean,isopod,taxon
104,CSM,1,adult,ostracod-planktonic,ostracod,taxon
106,CSM,1,adult,Pardosa sp.,spider,taxon
109,CSM,1,adult,Salt Marsh Hopper,amphipod,taxon
110,CSM,1,adult,Salt Marsh Water Boatman,water boatman,taxon
111,CSM,1,adult,Calfornia Ghost Shrimp,burrowing shrimp,taxon
112,CSM,1,adult,Southern Mud Shrimp,burrowing shrimp,taxon
113,CSM,1,adult,Green Shore Crab,crab,taxon
114,CSM,1,adult,Striped Shore Crab,crab,taxon
115,CSM,1,adult,Fiddler Crab,crab,taxon
116,CSM,1,adult,Yellow-fin Goby,fish,taxon
118,CSM,1,adult,Topsmelt,fish,taxon
119,CSM,1,adult,Arrow Goby,fish,taxon
120,CSM,1,adult,Shiner Surfperch,fish,taxon
121,CSM,1,adult,California Killifish,fish,taxon
122,CSM,1,adult,Long-jawed Mudsucker,fish,taxon
125,CSM,1,adult,Diamond Turbot,fish,taxon
127,CSM,1,adult,Staghorn Sculpin,fish,taxon
132,CSM,1,adult,California Halibut,fish,taxon
139,CSM,1,adult,Leopard Shark,elasmobranch,taxon
140,CSM,1,adult,Haller's Round Ray,elasmobranch,taxon
141,CSM,1,adult,American Avocet,bird,taxon
143,CSM,1,adult,American Coot,bird,taxon
145,CSM,1,adult,American Wigeon,bird,taxon
148,CSM,1,adult,Belted Kingfisher,bird,taxon
151,CSM,1,adult,Bonaparte's Gull,bird,taxon
155,CSM,1,adult,Blue-winged Teal,bird,taxon
161,CSM,1,adult,Cooper's Hawk,bird,taxon
173,CSM,1,adult,Green-winged Teal,bird,taxon
182,CSM,1,adult,Mallard,bird,taxon
183,CSM,1,adult,Mew Gull,bird,taxon
187,CSM,1,adult,Pied-billed Grebe,bird,taxon
190,CSM,1,adult,Red-breasted Merganser,bird,taxon
202,CSM,1,adult,Surf Scoter,bird,taxon
210,CSM,1,adult,Raccoon,mammal,taxon
212,CSM,1,adult,Salt Marsh Bird's Beak,vascular plant,taxon
213,CSM,1,adult,Dodder,vascular plant,taxon
350,CSM,NA,NA,wave attenuation,service,service
450,CSM,NA,NA,shoreline stabilization,service,service
550,CSM,NA,NA,carbon sequestration,service,service
650,CSM,NA,NA,water filtration,service,service
750,CSM,NA,NA,fishery,service,service
850,CSM,NA,NA,birdwatching,service,service
950,CSM,NA,NA,waterfowl hunting,service,service
