"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",145,950,"ES"
"2",152,950,"ES"
"3",159,950,"ES"
"4",182,950,"ES"
"5",179,850,"ES"
"6",197,850,"ES"
"7",174,850,"ES"
"8",158,850,"ES"
"9",157,850,"ES"
"10",190,850,"ES"
"11",147,850,"ES"
"12",186,850,"ES"
"13",146,850,"ES"
"14",165,850,"ES"
"15",141,850,"ES"
"16",117,750,"ES"
"17",123,750,"ES"
"18",132,750,"ES"
"19",133,750,"ES"
"20",59,750,"ES"
"21",4,350,"ES"
"22",7,350,"ES"
"23",8,350,"ES"
"24",9,350,"ES"
"25",10,350,"ES"
"26",11,350,"ES"
"27",14,350,"ES"
"28",16,350,"ES"
"29",17,350,"ES"
"30",4,450,"ES"
"31",7,450,"ES"
"32",8,450,"ES"
"33",9,450,"ES"
"34",10,450,"ES"
"35",11,450,"ES"
"36",12,450,"ES"
"37",14,450,"ES"
"38",16,450,"ES"
"39",17,450,"ES"
"40",4,650,"ES"
"41",7,650,"ES"
"42",8,650,"ES"
"43",9,650,"ES"
"44",11,650,"ES"
"45",12,650,"ES"
"46",14,650,"ES"
"47",16,650,"ES"
"48",17,650,"ES"
"49",59,650,"ES"
"50",60,650,"ES"
"51",61,650,"ES"
"52",62,650,"ES"
"53",63,650,"ES"
"54",64,650,"ES"
"55",68,650,"ES"
"56",69,650,"ES"
"57",71,650,"ES"
"58",73,650,"ES"
"59",74,650,"ES"
"60",4,550,"ES"
"61",6,550,"ES"
"62",7,550,"ES"
"63",8,550,"ES"
"64",9,550,"ES"
"65",10,550,"ES"
"66",11,550,"ES"
"67",12,550,"ES"
"68",14,550,"ES"
"69",16,550,"ES"
"70",17,550,"ES"
"71",30,550,"ES"
"72",33,550,"ES"
"73",49,550,"ES"
"74",55,550,"ES"
"75",57,550,"ES"
"76",59,550,"ES"
"77",60,550,"ES"
"78",61,550,"ES"
"79",62,550,"ES"
"80",64,550,"ES"
"81",68,550,"ES"
"82",69,550,"ES"
"83",71,550,"ES"
"84",73,550,"ES"
"85",74,550,"ES"
"86",75,550,"ES"
"87",76,550,"ES"
"88",78,550,"ES"
"89",79,550,"ES"
"90",80,550,"ES"
"91",82,550,"ES"
"92",83,550,"ES"
"93",95,550,"ES"
"94",109,550,"ES"
"95",111,550,"ES"
"96",112,550,"ES"
"97",113,550,"ES"
"98",114,550,"ES"
"99",115,550,"ES"
"100",121,550,"ES"
"101",125,550,"ES"
