ResourceSpeciesID,ConsumerSpeciesID,Type,System
6,21,Feeding,BSQ
24,34,Feeding,BSQ
25,34,Feeding,BSQ
26,34,Feeding,BSQ
35,34,Feeding,BSQ
36,34,Feeding,BSQ
37,34,Feeding,BSQ
38,34,Feeding,BSQ
39,34,Feeding,BSQ
40,34,Feeding,BSQ
41,34,Feeding,BSQ
42,34,Feeding,BSQ
43,34,Feeding,BSQ
45,34,Feeding,BSQ
21,43,Feeding,BSQ
24,43,Feeding,BSQ
25,43,Feeding,BSQ
26,43,Feeding,BSQ
29,43,Feeding,BSQ
34,43,Feeding,BSQ
36,43,Feeding,BSQ
37,43,Feeding,BSQ
38,43,Feeding,BSQ
39,43,Feeding,BSQ
40,43,Feeding,BSQ
41,43,Feeding,BSQ
42,43,Feeding,BSQ
43,43,Feeding,BSQ
45,43,Feeding,BSQ
66,43,Feeding,BSQ
92,43,Feeding,BSQ
100,43,Feeding,BSQ
104,43,Feeding,BSQ
21,45,Feeding,BSQ
24,45,Feeding,BSQ
25,45,Feeding,BSQ
26,45,Feeding,BSQ
29,45,Feeding,BSQ
34,45,Feeding,BSQ
36,45,Feeding,BSQ
37,45,Feeding,BSQ
38,45,Feeding,BSQ
39,45,Feeding,BSQ
40,45,Feeding,BSQ
41,45,Feeding,BSQ
42,45,Feeding,BSQ
43,45,Feeding,BSQ
45,45,Feeding,BSQ
66,45,Feeding,BSQ
92,45,Feeding,BSQ
100,45,Feeding,BSQ
104,45,Feeding,BSQ
12,24,Feeding,BSQ
12,25,Feeding,BSQ
12,26,Feeding,BSQ
12,37,Feeding,BSQ
12,40,Feeding,BSQ
12,41,Feeding,BSQ
12,42,Feeding,BSQ
12,43,Feeding,BSQ
12,45,Feeding,BSQ
122,47,Feeding,BSQ
24,48,Feeding,BSQ
25,48,Feeding,BSQ
26,48,Feeding,BSQ
29,48,Feeding,BSQ
34,48,Feeding,BSQ
36,48,Feeding,BSQ
37,48,Feeding,BSQ
38,48,Feeding,BSQ
39,48,Feeding,BSQ
40,48,Feeding,BSQ
41,48,Feeding,BSQ
42,48,Feeding,BSQ
43,48,Feeding,BSQ
45,48,Feeding,BSQ
66,48,Feeding,BSQ
92,48,Feeding,BSQ
24,53,Feeding,BSQ
25,53,Feeding,BSQ
26,53,Feeding,BSQ
29,53,Feeding,BSQ
34,53,Feeding,BSQ
35,53,Feeding,BSQ
36,53,Feeding,BSQ
37,53,Feeding,BSQ
38,53,Feeding,BSQ
39,53,Feeding,BSQ
40,53,Feeding,BSQ
41,53,Feeding,BSQ
42,53,Feeding,BSQ
43,53,Feeding,BSQ
45,53,Feeding,BSQ
12,66,Feeding,BSQ
12,66,Feeding,BSQ
6,75,Feeding,BSQ
6,77,Feeding,BSQ
6,79,Feeding,BSQ
145,86,Feeding,BSQ
146,86,Feeding,BSQ
147,86,Feeding,BSQ
148,86,Feeding,BSQ
152,86,Feeding,BSQ
153,86,Feeding,BSQ
156,86,Feeding,BSQ
157,86,Feeding,BSQ
158,86,Feeding,BSQ
160,86,Feeding,BSQ
162,86,Feeding,BSQ
163,86,Feeding,BSQ
164,86,Feeding,BSQ
165,86,Feeding,BSQ
166,86,Feeding,BSQ
167,86,Feeding,BSQ
168,86,Feeding,BSQ
169,86,Feeding,BSQ
171,86,Feeding,BSQ
172,86,Feeding,BSQ
175,86,Feeding,BSQ
176,86,Feeding,BSQ
178,86,Feeding,BSQ
179,86,Feeding,BSQ
181,86,Feeding,BSQ
185,86,Feeding,BSQ
186,86,Feeding,BSQ
187,86,Feeding,BSQ
188,86,Feeding,BSQ
189,86,Feeding,BSQ
190,86,Feeding,BSQ
191,86,Feeding,BSQ
192,86,Feeding,BSQ
193,86,Feeding,BSQ
196,86,Feeding,BSQ
198,86,Feeding,BSQ
203,86,Feeding,BSQ
206,86,Feeding,BSQ
207,86,Feeding,BSQ
208,86,Feeding,BSQ
209,86,Feeding,BSQ
145,90,Feeding,BSQ
146,90,Feeding,BSQ
147,90,Feeding,BSQ
148,90,Feeding,BSQ
152,90,Feeding,BSQ
153,90,Feeding,BSQ
156,90,Feeding,BSQ
157,90,Feeding,BSQ
158,90,Feeding,BSQ
160,90,Feeding,BSQ
162,90,Feeding,BSQ
163,90,Feeding,BSQ
164,90,Feeding,BSQ
165,90,Feeding,BSQ
166,90,Feeding,BSQ
167,90,Feeding,BSQ
168,90,Feeding,BSQ
169,90,Feeding,BSQ
171,90,Feeding,BSQ
172,90,Feeding,BSQ
175,90,Feeding,BSQ
176,90,Feeding,BSQ
178,90,Feeding,BSQ
179,90,Feeding,BSQ
181,90,Feeding,BSQ
185,90,Feeding,BSQ
186,90,Feeding,BSQ
187,90,Feeding,BSQ
188,90,Feeding,BSQ
189,90,Feeding,BSQ
190,90,Feeding,BSQ
191,90,Feeding,BSQ
192,90,Feeding,BSQ
193,90,Feeding,BSQ
196,90,Feeding,BSQ
198,90,Feeding,BSQ
203,90,Feeding,BSQ
206,90,Feeding,BSQ
207,90,Feeding,BSQ
208,90,Feeding,BSQ
209,90,Feeding,BSQ
6,91,Feeding,BSQ
10,91,Feeding,BSQ
12,92,Feeding,BSQ
6,94,Feeding,BSQ
6,96,Feeding,BSQ
10,96,Feeding,BSQ
6,97,Feeding,BSQ
10,97,Feeding,BSQ
6,98,Feeding,BSQ
10,98,Feeding,BSQ
6,101,Feeding,BSQ
10,101,Feeding,BSQ
6,103,Feeding,BSQ
12,104,Feeding,BSQ
6,105,Feeding,BSQ
10,105,Feeding,BSQ
6,107,Feeding,BSQ
6,110,Feeding,BSQ
6,94,Feeding,BSQ
12,111,Feeding,BSQ
6,114,Feeding,BSQ
10,114,Feeding,BSQ
14,114,Feeding,BSQ
15,114,Feeding,BSQ
16,114,Feeding,BSQ
20,114,Feeding,BSQ
24,114,Feeding,BSQ
25,114,Feeding,BSQ
26,114,Feeding,BSQ
29,114,Feeding,BSQ
34,114,Feeding,BSQ
35,114,Feeding,BSQ
36,114,Feeding,BSQ
37,114,Feeding,BSQ
38,114,Feeding,BSQ
39,114,Feeding,BSQ
40,114,Feeding,BSQ
41,114,Feeding,BSQ
42,114,Feeding,BSQ
43,114,Feeding,BSQ
45,114,Feeding,BSQ
48,114,Feeding,BSQ
53,114,Feeding,BSQ
66,114,Feeding,BSQ
75,114,Feeding,BSQ
77,114,Feeding,BSQ
79,114,Feeding,BSQ
82,114,Feeding,BSQ
91,114,Feeding,BSQ
96,114,Feeding,BSQ
97,114,Feeding,BSQ
98,114,Feeding,BSQ
101,114,Feeding,BSQ
105,114,Feeding,BSQ
107,114,Feeding,BSQ
94,114,Feeding,BSQ
94,114,Feeding,BSQ
10,118,Feeding,BSQ
21,118,Feeding,BSQ
24,118,Feeding,BSQ
25,118,Feeding,BSQ
26,118,Feeding,BSQ
29,118,Feeding,BSQ
34,118,Feeding,BSQ
36,118,Feeding,BSQ
37,118,Feeding,BSQ
38,118,Feeding,BSQ
39,118,Feeding,BSQ
40,118,Feeding,BSQ
41,118,Feeding,BSQ
42,118,Feeding,BSQ
43,118,Feeding,BSQ
45,118,Feeding,BSQ
66,118,Feeding,BSQ
92,118,Feeding,BSQ
104,118,Feeding,BSQ
